upandininLV,"""I have insurance, I might as well use it while I can..."" #Obamacare"
hefbuck,"RT @UnPoliticalPrty: RT - @HouseGOP @Senate_GOPs

KILL The #ObamaCare Shared Responsibility Tax

See the fix ==&gt;&gt; http://t.co/u2CfY6uxsT

h…"
CrankyMaddog,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
ethomas3915,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
Youxia88,@ajfromhouston  #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. Yikes!
webmiss007,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
Youxia88,@ThePatriot143 #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. Yikes! #RFRA
HowardRoper,RT @2AFight: Plato: A just person disobeys an unjust law #2A #NRA #PJNET #Obamacare #tgdn #tcot #ccot #teaparty http://t.co/1BzBlZU1n8
MariMg53,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
babineaux102,#Obamacare – The Unconstitutional “Gift that Keeps on Fleecing” #pjnet #jailobama #ycot #tcot #ccot #tpot #tlot #ocra http://t.co/qGeSafJwnk
ArielleFoReal,Obama should do an all island tour YES JAH. #LIFESWEET #OBAMACARE
FFRNewsNet1,RT @FFRNNU: #FFRNN #CLASSROOM GUEST LECTURER Neil Cavuto; Apple vs. Government (A Company that Cares vs #Obamacare) http://t.co/ZMbbkC7OrS …
KennettDems,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
LatinosUnidos8,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
BeverlyFolkers,RT @Jim_Fondriest: Uninsured rate hits 15-year low under Obamacare: CDC reports http://t.co/qo5qsLVCO3 #Obamacare #progress
0_0_Pmichael,"@storyworthy #ObamaCare, imperfect but helping Americans like Christine; a single mother with a preexisting condition. Rmbr this in 2016."
HD_Ride,RT @2AFight: Plato: A just person disobeys an unjust law #2A #NRA #PJNET #Obamacare #tgdn #tcot #ccot #teaparty http://t.co/1BzBlZU1n8
zarazua_bianka,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
NJMike319,RT @2AFight: Plato: A just person disobeys an unjust law #2A #NRA #PJNET #Obamacare #tgdn #tcot #ccot #teaparty http://t.co/1BzBlZU1n8
abeal61,RT @2AFight: Plato: A just person disobeys an unjust law #2A #NRA #PJNET #Obamacare #tgdn #tcot #ccot #teaparty http://t.co/1BzBlZU1n8
jon_peligro,Damn it! @msnbc I blame #obamacare for #climatechange When will this #tyranny end!? #RandPaul2016
evansbradley,RT @Lrihendry: The U.S. never leaves its men and women in uniform behind. Except #veterans  #VeteranHeroes #Obamacare #VA 🇺🇸🇺🇸 http://t.co/…
ScottInSC,Why did we tolerate it when it held the #Obamacare disaster to be constitutional? https://t.co/yH2oNGdUDl
CMcKerracher,"RT @Coreandor: #Obamacare : http://t.co/rw3aGiQZar #YouTube ...over 2,000 views...#Funny #Humor #Political #Washington #Democrats #Republic…"
RightWingArtFan,RT @RightWingArt: IMAGE: Make Congress suffer Obamacare too! http://t.co/LE7aQBSWGo #obamacare #socialism #nobama #fail #congress #tyranny
NoGOPNo,RT @Jim_Fondriest: Uninsured rate hits 15-year low under Obamacare: CDC reports http://t.co/qo5qsLVCO3 #Obamacare #progress
Coreandor,"#Obamacare : http://t.co/rw3aGiQZar #YouTube ...over 2,000 views...#Funny #Humor #Political #Washington #Democrats #Republicans #Teaparty"
NewZco,#Social #ObamaCare @SocialNewsCorp http://t.co/eA4Zb2L5xV Stories viaVia #Twitter @LandesOne @V0icefortruth @kg1313
progunbobby,#gunsense RT RightWingArt: IMAGE: Make Congress suffer Obamacare too! http://t.co/WrFqfwhjDU #obamacare #socialism #nobama #fail #congres…
progunbobby,#gunsense IMAGE: Make Congress suffer Obamacare too! http://t.co/WrFqfwhjDU #obamacare #socialism #nobama #fail #congress #tyranny
FFRNNU,#FFRNN #CLASSROOM GUEST LECTURER Neil Cavuto; Apple vs. Government (A Company that Cares vs #Obamacare) http://t.co/ZMbbkC7OrS #pjnet
eduardoaguas956,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
2AFight,Plato: A just person disobeys an unjust law #2A #NRA #PJNET #Obamacare #tgdn #tcot #ccot #teaparty http://t.co/1BzBlZU1n8
ethomas3915,"RT @DebsWorldNY: Without Obamacare, Jobs Report Might've Been Worse - Forbes. Obama's fault, right #GOP ? #Obamacare #ACA http://t.co/4HtJu…"
ohpatricia4,"RT @DebsWorldNY: Without Obamacare, Jobs Report Might've Been Worse - Forbes. Obama's fault, right #GOP ? #Obamacare #ACA http://t.co/4HtJu…"
FerCr13,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
suekhi,"RT @DebsWorldNY: Without Obamacare, Jobs Report Might've Been Worse - Forbes. Obama's fault, right #GOP ? #Obamacare #ACA http://t.co/4HtJu…"
1catherinesiena,#WhatTheRussiansFound All the money that was blown on the #Obamacare website.
wasiq1,"WASIQ1'S  PAKISTAN Blog: The United State Dept on the World Health Day 2015... http://t.co/E4dgLkn1ea
#ObamaCare #khawajaAsif"
Youxia88,@DBrunoEsq #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. Why?! #hannity
JoeC1776,Outrageous! Not only do they appear to be corrupt but they are getting money  due to the also corrupt #Obamacare! @kksheld @IRStaxpros
Adenovir,"RT @DebsWorldNY: Without Obamacare, Jobs Report Might've Been Worse - Forbes. Obama's fault, right #GOP ? #Obamacare #ACA http://t.co/4HtJu…"
noprezzie2012,RT @Youxia88: @seanhannity #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. …
haydeevilma05,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
coldkeyes,RT @RightWingArt: IMAGE: Make Congress suffer Obamacare too! http://t.co/LE7aQBSWGo #obamacare #socialism #nobama #fail #congress #tyranny
DebsWorldNY,"Without Obamacare, Jobs Report Might've Been Worse - Forbes. Obama's fault, right #GOP ? #Obamacare #ACA http://t.co/4HtJuRW86P"
RightWingArt,IMAGE: Make Congress suffer Obamacare too! http://t.co/LE7aQBSWGo #obamacare #socialism #nobama #fail #congress #tyranny
Youxia88,@seanhannity #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. Why?! #hannity
TriciaNC1,RT @Youxia88: @seanhannity @RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. …
SeanDuff,RT @saeptavote: #Harvard employees vote against #Obamacare costs increase after supporting in 2010. Okay to do? Vote - http://t.co/6K5sxV1p…
Gumbi5,"Discouraged, dissatisfied, out of work: A jobs story - AEI http://t.co/Y8Wdocv40X Credits: #Obamanomics #Obamacare #Democrats"
Conserv_Report,#ObamaCare Treats People Like  http://t.co/tOIBbFuNcv  #ISISgenocide✝#180KXians ►http://t.co/gJxlqCxEc1◄#CCOT #sot #hannity #ycot #tcot
Youxia88,@seanhannity @RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. Why?! #hannity
ed59244,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
BGA_AGB,"#Obamacare 40% #Cadillac #Tax Hits No Frills Plans Too. Like Your Plan, Keep Your Plan?http://t.co/XuEHeUZ48S http://t.co/MPSVV0KdFA"
RUF4IR,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
Youxia88,@lucillerussell9 #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare (cont) http://t.co/mmnBVZUcPZ
kerryhaynes0026,"RT @M0L0NL4BE: ATTN ALL DOCTORS &amp; NURSES: your skills, abilities &amp; compensation will be undermined by #ObamaCare #PJNET http://t.co/9qVUR2c…"
OFA_UT,This one gets the rare Geppetto Checkmark from the @WashingtonPost fact-checkers: http://t.co/qke4HW5lWY #Obamacare
ppockras,RT @BowMaoTruthTeam: Does Obama have #Obamacare or is that slop just for us poor folk? #YouCruzYouLose  http://t.co/fY9nwgnytQ #ACAisworkin…
gunsnob,RT @FreedomWorks: Rising deductables are destroying access to healthcare #ObamaCare @Watchdogorg http://t.co/hRpDXjwBXq
1MillionPatriot,RT @BowMaoTruthTeam: Does Obama have #Obamacare or is that slop just for us poor folk? #YouCruzYouLose  http://t.co/fY9nwgnytQ #ACAisworkin…
limitlesskait,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
eventestes,"RT @M0L0NL4BE: ATTN ALL DOCTORS &amp; NURSES: your skills, abilities &amp; compensation will be undermined by #ObamaCare #PJNET http://t.co/9qVUR2c…"
kaylc1,RT @FFRNewsNet1: #FFRNN #WAKINGUP TO #TYRANNY South Carolina's Plan to Defeat #Obamacare 2013 Judge Napolitano Explains #WeThePeople http:/…
Tigerfists88,RT @OFA_LA: Fact: #Obamacare is a major reason why we’ve seen fewer preventable deaths in hospitals. http://t.co/zN8B1plOHr via @Washington…
brucedhendrix,RT @saeptavote: #Harvard employees vote against #Obamacare costs increase after supporting in 2010. Okay to do? Vote - http://t.co/6K5sxV1p…
JamesGuill,"RT @M0L0NL4BE: ATTN ALL DOCTORS &amp; NURSES: your skills, abilities &amp; compensation will be undermined by #ObamaCare #PJNET http://t.co/9qVUR2c…"
moralesdc,RT @mterry337: #Obamacare Critics said it would KILL competition! Dept of HHS reported 25% more insurers entering the marketplace..driving …
jasonbbuck,Nurses held accountable for things they can't change.  Satisfaction is important but wellness is more. #obamacare reimbursement.
kg1313,"RT @Watchdogorg: HHS sent the wrong #Obamacare tax forms to 800,000 people. But hey, at least they get an extension. http://t.co/lwxrBXdraq"
saeptavote,#Harvard employees vote against #Obamacare costs increase after supporting in 2010. Okay to do? Vote - http://t.co/6K5sxV1p8f
jpf_andthebeach,"RT @M0L0NL4BE: ATTN ALL DOCTORS &amp; NURSES: your skills, abilities &amp; compensation will be undermined by #ObamaCare #PJNET http://t.co/9qVUR2c…"
mikeliberation,@cody_k @justindignation Except that you want to force us to have them to pay for your ass. #Obamacare
M0L0NL4BE,"ATTN ALL DOCTORS &amp; NURSES: your skills, abilities &amp; compensation will be undermined by #ObamaCare #PJNET http://t.co/9qVUR2c7Zj"
Rocksteady50Cal,RT @BowMaoTruthTeam: Does Obama have #Obamacare or is that slop just for us poor folk? #YouCruzYouLose  http://t.co/fY9nwgnytQ #ACAisworkin…
OnlineMPro,RT @MONEY: Here's how #Obamacare has changed tax filing this year: Watch http://t.co/dtBDhpmWNs @KHNews http://t.co/rlftX8nyhe
Adenovir,@muhammedallia Following the #obamacare hashtag has brought me joy for that very reason.  @markeyeguy
FFRNewsNet1,#FFRNN #WAKINGUP TO #TYRANNY South Carolina's Plan to Defeat #Obamacare 2013 Judge Napolitano Explains #WeThePeople http://t.co/u89LJnq3Cu
svesig,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
Iomelvino,"RT @BarackObama: Read how #Obamacare is a major reason why we’ve seen an estimated 50,000 fewer preventable patient deaths: http://t.co/DbL…"
nathankirkwood,Court continues block on obama illegal immigration criminal behavior next up #obamacare will be toilet paper maybe hold obama accountable
danakarina02,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
nickm007,"#Obamacare @USHealthNews Americans, you must watch @CodeBlackMovie and realize the appalling state of your non-private hospitals #14hourwait"
MaryLopez4life,"RT @hugoc3318: 😂LOL: "" @TedCruz signs up for #Obamacare "" #ACA #ACAworks #NoTedCruz #GOPocrisy #p2 #tcot #UniteBlue 🇺🇸#USlatino http://t.co…"
JoelleJanuary,#ObamaCare Treats People http://t.co/Hy5wla5zOi  #1A☀#StopIRAN✡#StandWithIsrael ►http://t.co/uu6eLyPgfE #sot #han… http://t.co/Wwq0pmvpIO
StikNtheMud,RT @Adenovir: Notice the sum is zero. RT @markeyeguy: Start a new hash tag and include a photo #obamacareraisedmybill.  #Obamacare http://t…
balder_ryan,RT @LandryForLA: Today is #WorldHealthDay and I'm reminded of how bad #Obamacare is for LA families and businesses. RT if you agree! http:/…
BradleyWasson,RT @Youxia88: @seanhannity #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. …
UnPoliticalPrty,"RT - @HouseGOP @Senate_GOPs

KILL The #ObamaCare Shared Responsibility Tax

See the fix ==&gt;&gt; http://t.co/u2CfY6uxsT

https://t.co/qijT16CbBY"
gar_haydee,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
mariwaters13,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
noprezzie2012,RT @Youxia88: @seanhannity #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. …
Adenovir,Notice the sum is zero. RT @markeyeguy: Start a new hash tag and include a photo #obamacareraisedmybill.  #Obamacare http://t.co/TgX6tPfwvP
Youxia88,@seanhannity #RandPaul announced without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. Why?! #hannity
StikNtheMud,"RT @markeyeguy: Here is my premium increase #obamacare
#obamacareraisedmybill http://t.co/rC1WyO7e57"
StikNtheMud,RT @markeyeguy: Start a new hash tag and include a photo #obamacareraisedmybill.  #Obamacare http://t.co/ycGz8Jmk7s
TillsonAol,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
pmeech1,"RT @1sillygurl: @UnPoliticalPrty @RepJBridenstine @tedcruz Send #Obama and #Obamacare to Mexico, let him dictate them for a while...#Golf i…"
arrowsmithwoman,RT @markeyeguy: Start a new hash tag and include a photo #obamacareraisedmybill.  #Obamacare http://t.co/ycGz8Jmk7s
arrowsmithwoman,"RT @markeyeguy: Here is my premium increase #obamacare
#obamacareraisedmybill http://t.co/rC1WyO7e57"
reform_4,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
tayfan2,Hm. The same Russians hackers who hacked he WH probably already has your #Obamacare personal info. #Obamacare sucks
kg1313,RT @MONEY: Here's how #Obamacare has changed tax filing this year: Watch http://t.co/dtBDhpmWNs @KHNews http://t.co/rlftX8nyhe
vvargas777,"RT @EspuelasVox: .@TedCruz, Obamacare's greatest enemy, may sign up for #Obamacare http://t.co/HyQnq675FH? http://t.co/uwNmetO8BV #TNTweete…"
vvargas777,RT @EspuelasVox: .@TedCruz says he's going on #Obamacare http://t.co/QikaoKlKNs via @POLITICO #USLatino #tcot #teaparty #uniteblue #TNTweet…
vvargas777,RT @EspuelasVox: #Obamacare 's Impact on Latino Access to Health Insurance  via @HuffPostPol #USLatino #latism #TNTweeters #tcot #uniteblue…
Conserv_Report,#ObamaCare Treats People http://t.co/tOIBbFuNcv  #1A☀#StopIRAN✡#StandWithIsrael ►http://t.co/gJxlqCxEc1◄#TRCOT #sot #hannity #ycot #nbc
UsFassio,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
involvedman,RT @OFA_OR: Outrageous: Congress voted to cut essential programs like #Obamacare for millions of Americans. http://t.co/Zrd1QA31bm
vvargas777,RT @RichardOHornos: #Republican Secret Love For #Obamacare Exposed As @CongHuelskamp Choose #ACA Over Private Market👉http://t.co/gr9FMsqQrm…
gmansgroupie,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
MdaaAguas,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
daniel_lago101,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
kprim33,RT @citizensrock: 1000s now alive because they had #Obamacare—millions more to follow—unless these ideologues become a real #DeathPanel htt…
BINGBINGDELIGHT,RT @ArizonaAFP: YIKES!  http://t.co/66ucjYQA8m #pjnet #tcot #obamacare http://t.co/oSwpWLsTzS
Youxia88,@seanhannity #RandPaul announced Candidacy without mentioning 3 biggest issues to #GOP base- #Obamacare #Amnesty or #ReligiousFreedom. Why?!
BINGBINGDELIGHT,RT @ArizonaAFP: #Obamacare will increase taxes by nearly $800 billion   2013-2022  http://t.co/tb5NaK0tbe #tcot #pjnet #Azright http://t.co…
BINGBINGDELIGHT,RT @ArizonaAFP: #Obamacare will increase taxes nearly $800 billion   2013-2022  http://t.co/tb5NaJISjG  #tcot #pjnet #Azright #ACA http://t…
stop_them_now_,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
GaObamacare,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
Zenemijasa,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
hans24uy,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
PMgeezer,"RT @Watchdogorg: HHS sent the wrong #Obamacare tax forms to 800,000 people. But hey, at least they get an extension. http://t.co/lwxrBXdraq"
sumleeluv,RT @MONEY: Here's how #Obamacare has changed tax filing this year: Watch http://t.co/dtBDhpmWNs @KHNews http://t.co/rlftX8nyhe
MONEY,Here's how #Obamacare has changed tax filing this year: Watch http://t.co/dtBDhpmWNs @KHNews http://t.co/rlftX8nyhe
angelar82324380,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
iluvscoops,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
lazmaz22,"RT @BungeeWedgie: The #Obamacare internet site wasn't working b/c of #Russia hackers. 
#USA http://t.co/yc262hcZWC"
camila_1st,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
markeyeguy,"@FreedomWorks @Watchdogorg and you no longer get a cash discount for out of pocket, thanks #Obamacare http://t.co/Rq654qNwom"
Fatima_1st,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
Rktthndr,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
hansel_gmail,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
Fitzzer777,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
cuba40,RT @afpnevada: A nasty tax surprise is in store for #Obamacare customers http://t.co/qir4DS8Rug #ACA #tcot #ycot #tlot #healthcare
NJ_Vote,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
pusiosa2013,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
_4PeteSake,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
skipEpuppy,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
MaplesKay,"RT @UnPoliticalPrty: #Gruber said the #Democrat Party needed STUPID #Liberals to vote for #ObamaCare

SEE the FIX http://t.co/u2CfY6uxsT

h…"
_Nonsense88,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
Michiganborn58,"#Florida Gov #RickScott flip-flops on #Medicaid expansion, kicks 800,000 people to the curb http://t.co/j08ULmDs3v @dailykos #Obamacare #ACA"
RedRatDragon,"RT @UnPoliticalPrty: #Gruber said the #Democrat Party needed STUPID #Liberals to vote for #ObamaCare

SEE the FIX http://t.co/u2CfY6uxsT

h…"
dulaney_l,"RT @Watchdogorg: HHS sent the wrong #Obamacare tax forms to 800,000 people. But hey, at least they get an extension. http://t.co/lwxrBXdraq"
SantosCastella9,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
sueingeorgia,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
kerryhaynes0026,"RT @UnPoliticalPrty: Replace $15,500 #ObamaCare w/superior $2,400 Best-In-Class Alternative HERE http://t.co/nTfOb7Qu1p #PJNET"
LouShelly,RT @UnPoliticalPrty: Tell 30 @GOP Governors NO #StateExchanges &amp; @SpeakerBoehner to DEFUND #ObamaCare http://t.co/jm1m15UjAG
MollyB96,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
Conga_9,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
EffieMissy,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
dstoelb,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
charles_gaba,#ACASignups #ACATaxTime perhaps not such a dud after all: @CoveredCA reports 18K more enrollees: http://t.co/jAWaP1ta9X #ACA #Obamacare
ThereseNelsontw,"RT @UnPoliticalPrty: #Gruber said the #Democrat Party needed STUPID #Liberals to vote for #ObamaCare

SEE the FIX http://t.co/u2CfY6uxsT

h…"
Michiganborn58,Another red state caught lying to the #SCOTUS about health insurance exchanges http://t.co/tRbzWnwwj4 via @dailykos #Alabama #Obamacare #ACA
BigDAK54,"""@FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/d53xsOymOi"" BS!"
KarenWh8,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
stevendickinson,RT @M0L0NL4BE: #Obamacare will be the biggest jobs killer in American history #DefundObamacare IMMEDIATELY #PJNET http://t.co/6cXWRu8VhL
Earthfire9,RT @TonyPhyrillas: Congressional Research Service: There's No Magic Pot Of #Obamacare Medicaid Expansion Money http://t.co/u7jx5DR1Ea via @…
LHolloway2,"RT @TrucksHorsesDog: #StopCommonCore #StopHR5
Just Stop over-regulations killing jobs, Ponzi tax &amp; #Obamacare #CommonSense #WakeUpAmerica h…"
LHBtampa,"RT @markeyeguy: How #Obamacare screwed me
1.does not pay my hospital bill at all
2.raised my self pay doctor bill retroactively and I now o…"
JohnLaraway,#RaciallyObsessed Barack Obama Is Today's Jefferson Davis #Democrat #ProChoice #Slavery #ObamaCare .@Trevor_Pitt #BloodAndGlory #GOP #tcot
ravelo1964,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
LuanaMacLac,"RT @UnPoliticalPrty: #Gruber said the #Democrat Party needed STUPID #Liberals to vote for #ObamaCare

SEE the FIX http://t.co/u2CfY6uxsT

h…"
shuntera,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
DelaneyPalacio,RT @mterry337: #JebBush calls #Obamacare a MONSTROSITY that needs to be replaced!! How long have we been waiting on the #GOP alternative pl…
Sandyone2008,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
Mswilcat,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
kebazer,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
Monki_Bunni,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
jchavezona,RT @NormanPenny: The #Obamacare Doomsday Cult Struggles to Adapt to World That Did Not End http://t.co/m555zvsEB3   via @intelligencer #ACA…
judith5519,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
UnPoliticalPrty,"#Gruber said the #Democrat Party needed STUPID #Liberals to vote for #ObamaCare

SEE the FIX http://t.co/u2CfY6uxsT

https://t.co/fJKZ3B6QJO"
UnPoliticalPrty,"Replace $15,500 #ObamaCare w/superior $2,400 Best-In-Class Alternative HERE http://t.co/nTfOb7Qu1p #PJNET"
Chines,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
KingToilet1,Did Obama Sabotage #obamacare ?? http://t.co/v1KKcHPj5x #healthcare #aca #healthinsurance #liar #president #clinton #newyork #government
BushwackCA,"The same people that sold #Obamacare to the very same people that are bitching about it now, shouldn't worry at all about the #IranDeal"
jayoung1892,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
skew11,"RT @FreedomWorks: The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
FreedomWorks,"The deductible for #ObamaCare’s cheapest plan has been set at $5,181 for 2015 @Watchdogorg http://t.co/hRpDXjwBXq"
SahilCDesai,@megynkelly @JohnKasich sorry will not vote for him #obamacare expansion.  I will stay away if John or Jeb are nominated.
chessorcat,RT @afpnevada: A nasty tax surprise is in store for #Obamacare customers http://t.co/qir4DS8Rug #ACA #tcot #ycot #tlot #healthcare
RichSegedi,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
Evilpa,"@MegynKelly Kasich is a disaster. He supports #Obamacare, &amp; #Common Core, just for starters, he's also part of @GOP elite. #KellyFile #PJNET"
